SN,model,"status
g:     good (no diff except for settings diffs and/or default values)
bin:  diff due to missing binary file info
x:     output.mdl is invalid
dis:  discarded model",remarks,present only in github (not in github-downloaded),,
1,._double_integrator.slx,dis,model load error,,,
2,2_PID,dis,conversion to r2019b (using matlab) failed,,,
3,AC_Quadcopter_Simulation,g,,,,
4,ADIBlocks,g,,,,
5,ATWS,g*,conversion to r2019b (using matlab) failed,,,
6,ATWS_main,g,,,,
7,Actuator_FO_TestBed,g,,,,
8,AmbientMod,g,,,,
9,AmbientSIL_TestBed,g,,,,
10,Ambient_TestBed,g,,,,
11,Bleed_TestBed,g,,,,
12,Bleed_TestBed1,g,,,,
13,BraytonCycle,g,,,,..
14,Burner_TestBed,g,,,,
15,Burner_TestBed1,g,,,,
16,CSEI_tau,g,,,,
17,CSEI_u,g,,,,
18,Chassis_Alpha,g,,,,
19,Chassis_Alpha_sm,g,,,,
20,Chassis_Alpha_sm_s3d,g,,,,
21,CompVG_TestBed,g,,,,
22,CompVG_TestBed1,g,,,,
23,Comp_Model,g,,,,
24,Comp_Model1,g,,,,
25,Comp_TestBed,g,,,,
26,Comp_TestBed1,g,,,,
27,Compressor_Alpha,g,,,,
28,Compressor_Defaults,g,,,,
29,Compressor_StaticSimulink,g,,,,
30,ControllerPI_TestBed,g,,,,
31,CorN_TestBed,g,,,,
32,CorW_TestBed,g,,,,
33,CorWf_TestBed,g,,,,
34,DCMotor,g,,,,
35,DCMotor_PI_Z_controller,g,,,,
36,DEVICE1,g,,,,
37,Duct_TestBed,g,,,,
38,Dyn_Vol_Line,g,,,,
39,FPGADataCapture_model,g,,,,
40,FlwPthChar_TestBed,g,,,,
41,HEV,dis,conversion to r2019b (using matlab) failed,,,
42,IP_Model,g,,,,
43,Interface_Model,bin,,,,
44,Interface_Model_Tx,g,,,,
45,LQR,bin,,,,
46,Lib_Cntrl_CorrectedFuelFlow_TMATS,g,,,,
47,Lib_Cntrl_CorrectedGasFlow_TMATS,g,,,,
48,Lib_Cntrl_CorrectedSpeed_TMATS,g,,,,
49,Lib_Cntrl_FirstOrderActuator_TMATS,g,,,,
50,Lib_Cntrl_FirstOrderSensor_TMATS,g,,,,
51,Lib_Cntrl_GainSchedulerD2D_TMATS,g,,,,
52,Lib_Cntrl_LimitCntrlPI_TMATS,g,,,,
53,Lib_Cntrl_LimitSelect_TMATS,g,,,,
54,Lib_Cntrl_SetPointCntrlPI_TMATS,g,,,,
55,Lib_Cntrl_SetPoint_TMATS,g,,,,
56,Lib_Cntrl_SimplePIcontroller_TMATS,g,,,,
57,Lib_HeatXfer_0DtransconductionLS_TMATS,g,,,,
58,Lib_HeatXfer_1Dtransconduction2FDE_TMATS,g,,,,
59,Lib_HeatXfer_1DtransconductionCN_TMATS,g,,,,
60,Lib_HeatXfer_1DtransconductionFDE_TMATS,g,,,,
61,Lib_HeatXfer_1DtransconductionFDI_TMATS,g,,,,
62,Lib_HeatXfer_1DtransconductionVPGen_TMATS,g,,,,
63,Lib_HeatXfer_ThermalExpansion,g,,,,
64,Lib_NM_JacobianCalc_TMATS,g,,,,
65,Lib_Solve_DataOut_TMATS,g,,,,
66,Lib_Solve_Linearize_TMATS,g,,,,
67,Lib_Solve_ModelSource_TMATS,g,,,,
68,Lib_Solve_NormErr_TMATS,g,,,,
69,Lib_Solve_OuterLoopIntegrator_TMATS,g,,,,
70,Lib_Solve_PWLinearize_TMATS,g,,,,
71,Lib_Solve_PWStateSpace_TMATS,g,,,,
