SN,model,"status
g:     good (no diff except for settings diffs and/or default values)
bin:  diff due to missing binary file info
x:     output.mdl is invalid
dis:  discarded model",remarks,,,
1,ACTimeOvercurrentRelayBlock,g,,,,
2,Actuated_Pioneer3DXAssembly,g,,,,
3,Analog_IO_Library,g,,,,
4,Animation_Lib,g,,,,
5,ArduPilot2_lib,g,,,,
6,Assembly_Quadrotor,bin,,,,
7,Baro_Library,g,,,,
8,Battery_Cell_Det,g,,,,
9,Blades_Lib,g,,,,
10,Blades_Testrig,g,,,,
11,Blocks_Lib,g,,,,
12,Boost_Circuit_Subsys_ClosedLoop,g,,,,
13,Brakes_Lib,g,,,,..
14,Chassis_Alpha,g,,,,
15,Chassis_Alpha_sm,g,,,,
16,Chassis_Alpha_sm_s3d,g,,,,
17,Compressor_Alpha,g,,,,
18,Compressor_Defaults,g,,,,
19,Compressor_StaticSimulink,g,,,,
20,Contact_Forces_Lib,g,,,,
21,ControlLogic,g,,,,
22,ControlLogic_Ports,g,,,,
23,ControlLogic_Testrig,bin,,,,
24,Controller_Pioneer3DXAssembly,g,,,,
25,DCT_Vehicle_Dynamics_Lib,g,,,,
26,DataTypeConv_Library,g,,,,
27,Digital_Out_SFunction_Example,g,,,,
28,Discrete_IO_Library,g,,,,
29,Dual_Clutch_Trans,bin,,,,
30,Dual_Clutch_Trans_SDO,bin,,,,
31,Engine_Lib,bin,,,,
32,Engine_Testrig,g,,,,
33,FlashMemory_Library,g,,,,
34,Flex_Cantilever_Element_Lib,g,,,,
35,Flex_Cantilever_Lib,g,,,,
36,GPS_Library,g,,,,
37,GearSelect_Testrig,g,,,,
38,Geartrain_Lib,g,,,,
39,Geartrain_Testrig,g,,,,
40,Generator_Lib,g,,,,
41,Generator_Testrig,g,,,,
42,HEV_Battery_Det_Lib,g,,,,
43,HEV_Battery_Lib,g,,,,
44,HEV_Battery_Testrig_v1,g,,,,
45,HEV_Battery_Testrig_v2,g,,,,
46,HEV_Electrical_Lib,g,,,,
47,HEV_SeriesParallel,g,,,,
48,HEV_Vehicle_Dynamics_Lib,g,,,,
49,HPW,g,,,,
50,HVDC_system,g,,,,
51,Hub_Axis_Lib,g,,,,
52,Hydraulic_Actuator_Lib,g,,,,
53,IMU_Library,g,,,,
54,IMU_Serial_Example,g,,,,
55,Inputs_Set_Busses_Testrig,g,,,,
56,LF_AC29bus_HVDCdemo_V2_1,g,,,,
57,LiBatteryBlocks,g,,,,
58,Link_A,g,,,,
59,Link_B,g,,,,
60,MAXPID_modelisation_multi_physique_MATLAB_2015a_Ivan_Liebgott,g*,minor diff due to non-ASCII character,,,
61,Mag_Library,g,,,,
62,Main_Controller_Lib,g,,,,
63,MathModel_Boost_Subsys_ClosedLoop,g,,,,
64,MotionConstraints_Pioneer3DXAssembly,g,,,,
65,Motor_Lib,g,,,,
66,Parts_Lib,g,,,,
67,Pioneer3DXAssembly,g,,,,
68,Pitch_Actuation_Hydraulic_Testrig,bin,,,,
69,Pitch_Actuation_Lib,g,,,,
70,Pitch_Actuation_Linkage,g,,,,
71,Pitch_Actuation_Linkage_Lib,g,,,,
72,Pitch_Control_Hydraulic_Testrig,bin,,,,
73,Pitch_Control_Ideal_Testrig,bin,,,,
74,Pitch_Controller_Generated_SFunc,g,,,,
75,Pitch_Controller_Lib,g,,,,
76,Pitch_System_Lib,g,,,,
77,Pitot_Library,g,,,,
78,Power_Alpha,g,,,,
79,Prop_Alpha,g,,,,
80,RC_Demo_C2000_Control_Unit,bin,,,,
81,RC_Demo_CAN_Host,bin,,,,
82,RC_Library,g,,,,
83,SL3DAnim_Pioneer3DXAssembly,g,,,,
84,Serial_Library,g,,,,
85,Timing_Library,g,,,,
86,Tower,g,,,,
87,Transmission_Lib,bin,,,,
88,Tube_Alpha,g,,,,
89,Tube_Alpha_sf,g,,,,
90,Turbine_Input_Lib,bin,,,,
91,Turbine_State_Machine_Lib,g,,,,
92,Turbine_State_Machine_Testrig,bin,,,,
93,UPFC_1,g*,minor diff due to non-ASCII character,,,
94,Vehicle_Dynamics_Testrig,bin,,,,
95,Vehicle_Dynamics_Testrig2,g,,,,
96,Vehicle_Dynamics_Tests,g,,,,
97,Vehicle_Dynamics_Tests_NoDelftTyre,g,,,,
98,Wind_Lib,g,,,,
99,Wind_Testrig,bin,,,,
100,Wind_Turbine,bin,,,,
101,Wind_Turbine_Flexible_Blades,bin,,,,
102,Yaw_Actuation_Lib,g,,,,
103,Yaw_Actuation_Testrig,g,,,,
104,Yaw_Controller_Lib,g,,,,
105,Yaw_Gearbox_Lib,g,,,,
106,Yaw_Gearbox_Testrig,g,,,,
107,Yaw_Ideal_Actuator_Lib,g,,,,
108,Yaw_Ideal_Motor_Lib,g,,,,
109,Yaw_Motor_Lib,g,,,,
110,Yaw_System_Lib,g,,,,
111,bot_demo,g,,,,
112,complex_multiply_example,g,,,,
113,downsample_upsample_example,bin,,,,
114,drivecyclelib,g,,,,
115,enabled_subsystem_example,g,,,,
116,finalmodel15_10,g,,,,
117,fir_filter_example,g,,,,
118,hybridPVWind,bin,,,,
119,hyperloop_arc,g,,,,
120,logger,bin,,,,
121,main_demo_real_robot,g,,,,
122,myo_lib,g,,,,
123,myo_sfun_one_myo_imu,g,,,,
124,myo_sfun_one_myo_imu_emg,g,,,,
125,myo_sfun_one_myo_imu_visualization,g,,,,
126,myo_sfun_two_myo_imu,g,,,,
127,pndo,g,,,,
128,pvwindupfc11,bin ,,,,
129,realtime_pacer_lib,g*,unable to save as mdl using matlab due to non-ASCII character,,,
130,rgb_arduino,g,,,,
131,rgb_arduino1,g,,,,
132,rgb_arduino2,g,,,,
133,rgb_arduino3,g,,,,
134,rpi_driver_blocks,bin,,,,
135,rtc_example,g,,,,
136,serialRunOnArduino,g*,minor diff due to non-ASCII character,,,
137,serialRunOnPC,g*,unable to save as mdl using matlab due to non-ASCII character,,,
138,sl2ge_hyperloop,bin,,,,
139,sldemo_discretedrivecycle,g,,,,
140,sldemo_drivecycle,g,,,,
141,ssc_dc_motor,bin ,,,,
142,ssc_lithium_battery_1CellMultiplied,bin,,,,
143,ssc_lithium_battery_80Cells,bin,,,,
144,ssc_lithium_cell_1RC,bin,,,,
145,ssc_lithium_cell_1RC_estim,g,,,,
146,ssc_lithium_cell_2RC,bin,,,,
147,ssc_Probes_2012a,bin ,,,,
148,ssc_Probes_2012b,bin ,,,,
149,ssc_Probes_2012b_scopes,bin ,,,,
150,ssc_Probes_2013a,bin ,,,,
151,ssc_Probes_2013a_HMC,bin ,,,,
152,ssc_Probes_2013b,bin ,,,,
153,ssc_Probes_2014a,bin ,,,,
154,ssc_Probes_2014b,bin ,,,,
155,ssc_Probes_2015a,bin ,,,,
156,ssc_Probes_2015b,g,,,,
157,ssc_Probes_2016a,g,,,,
158,ssc_Probes_2016b,bin ,,,,
159,ssc_Probes_test_all,g,,,,
160,ssc_Probes_test_all_16a,g,,,,
161,ssc_Probes_test_all_16b,g,,,,
162,ssc_three_phase,g,,,,
163,stateflow_example,g*,one attribute 'outputState' is missing ,,,
164,sync_subsystem_example,g,,,,
165,testmodel,g,,,,
166,utility,g,,,,
167,view_wave_example,bin,,,,
168,youBot,g,,,,
169,youBot_Arm,g,,,,
170,youBot_STEP_URDF,g,,,,
171,youBot_damping,g,,,,
